Institute Name,Owner Name,Father Name,Address,Mobile,Shop Type,Budget,Tax Year,Amount of tax
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
softXmagic.com,Wasim,MD Kalim,Mirpur,1922002381,8,6000,1,500
